title,haiku,haiku2,path
CITY CUSTODIAL ASSISTANT,"Custodial and
maintenance of the bureau
of operations",Custodial and maintenance of the bureau of operations.,"['custodial', 'and', 'i++', 'maintenance', 'of', 'the', 'bureau', 'i++', 'of', 'operations', 'i++']"
ADMINISTRATIVE HORTICULTURIST,"Valid new york state
driver license valid in
the state of new york",Valid New York State driver license valid in the state of New York.,"['valid', 'new', 'york', 'state', 'i++', 'pesticide', 'applicator', 'i++', 'license', '-license', 'i--', '-applicator', '-pesticide', 'driver', 'license', 'valid', 'in', 'i++', 'the', 'state', 'of', 'new', 'york', 'i++']"
CIVIL ENGINEERING INTERN,"Candidates will be
expected to conduct site
visits as needed",Candidates will be expected to conduct site visits as needed.,"['candidates', 'with', '-with', 'will', 'be', 'i++', 'expected', 'to', 'conduct', 'site', 'i++', 'visits', 'as', 'needed', 'i++']"
CIVIL ENGINEERING INTERN,"The new york city
department of design and
construction projects",,"['the', 'bureau', 'of', '-of', 'is', '-is', '-bureau', 'review', 'and', '-and', '-review', 'new', 'york', 'city', 'i++', 'department', 'of', 'design', 'and', 'i++', 'construction', 'projects', 'i++']"
CIVIL ENGINEERING INTERN,"Working within the
bureau of engineering
drawings and records",Working within the bureau of engineering drawings and records.,"['working', 'within', 'the', 'i++', 'planning', 'development', 'to', 'i++', 'include', 'data', '-data', '-include', 'i--', '-to', '-development', '-planning', 'west', 'of', 'hudson', 'life', 'cycle', 'i++', 'management', '-management', 'i--', '-cycle', '-life', '-hudson', '-of', '-west', 'bureau', 'of', 'engineering', 'i++', 'drawings', 'and', 'records', 'i++']"
CIVIL ENGINEERING INTERN,"Field inspections and
document construction of
green roofs required",Field inspections and document construction of green roofs required.,"['field', 'inspections', 'and', 'i++', 'document', 'construction', 'of', 'i++', 'green', 'roofs', 'required', 'i++']"
CIVIL ENGINEERING INTERN,,Familiarity with computer maintenance management programs.,"['familiarity', 'i++', 'of', 'ms', 'office', 'suite', 'ms', '-ms', '-suite', '-office', '-ms', '-of', 'with', 'the', 'provisions', 'of', 'the', 'i++', 'construction', 'of', '-of', '-construction', 'i--', '-the', '-of', '-provisions', '-the', 'computer', 'maintenance', 'i++', 'management', 'programs', 'i++']"
CIVIL ENGINEERING INTERN,"Assisting in the
review of engineering
drawings for projects",Assisting in the review of engineering drawings for projects.,"['assisting', 'in', 'the', 'i++', 'review', 'and', 'examine', '-examine', 'comment', 'of', '-of', '-comment', 'approval', 'in', 'i++', 'accordance', 'with', '-with', '-accordance', 'i--', '-in', '-approval', '-and', 'of', 'engineering', 'i++', 'drawings', 'for', 'projects', 'i++']"
INVESTIGATOR,"The candidate must
be able to work any
assigned shift or day",The candidate must be able to work any assigned shift or day.,"['the', 'unit', '-unit', 'safety', 'and', '-and', '-safety', 'candidate', 'must', 'i++', 'be', 'prepared', 'to', 'produce', 'all', 'i++', 'required', '-required', 'i--', '-all', '-produce', '-to', '-prepared', 'able', 'to', 'work', 'any', 'i++', 'assigned', 'shift', 'or', 'day', 'i++']"
INVESTIGATOR,"Must be able to
work independently and
as part of a team",Must be able to work independently and as part of a team.,"['must', 'be', 'able', 'to', 'i++', 'work', 'independently', 'and', 'i++', 'as', 'part', 'of', 'a', 'team', 'i++']"
INVESTIGATOR,"The candidate will
also assist in the child
care operations",The candidate will also assist in the child care operations.,"['the', 'candidate', 'will', 'i++', 'also', 'assist', 'in', 'the', 'child', 'i++', 'care', 'operations', 'i++']"
ENVIRONMENTAL ENGINEERING INTE,"Assisting with site
inspections of catch basin
cleaning contractors",Assisting with site inspections of catch basin cleaning contractors.,"['assisting', 'with', 'site', 'i++', 'inspections', 'of', 'catch', 'basin', 'i++', 'inspection', '-inspection', 'cleaning', 'contractors', 'i++']"
ENVIRONMENTAL ENGINEERING INTE,"The inspections of
catch basins in various
weather conditions",The inspections of catch basins in various weather conditions.,"['the', 'division', 'of', 'i++', 'operations', '-operations', 'i--', '-of', '-division', 'inspections', 'of', 'i++', 'catch', 'basins', 'and', 'monitor', 'i++', 'the', 'work', 'progress', '-progress', '-work', '-the', 'i--', '-monitor', '-and', 'in', 'various', 'i++', 'weather', 'conditions', 'i++']"
PUBLIC RECORDS AIDE,"The packaging of
bid packages into the
requisite volumes",The packaging of bid packages into the requisite volumes.,"['the', 'selected', '-selected', 'packaging', 'of', 'i++', 'bid', 'packages', 'to', 'acco', 'i++', 'i--', '-acco', '-to', 'into', 'the', 'i++', 'requisite', 'volumes', 'i++']"
SUPERVISOR OF MECHANICS(MECHAN,"Fleet maintenance and
repair of a large fleet of
motor vehicles",Fleet maintenance and repair of a large fleet of motor vehicles.,"['fleet', 'maintenance', 'and', 'i++', 'repair', 'of', 'a', 'large', 'fleet', 'of', 'i++', 'motor', 'vehicles', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"Basic database
knowledge to assist on the
communications",Basic database knowledge to assist on the communications.,"['basic', 'level', '-level', 'database', 'i++', 'knowledge', 'to', 'assist', 'on', 'the', 'i++', 'survey', 'scanning', '-scanning', '-survey', 'communications', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"The development
and roll out of the bureau
of child care programs",The development and roll out of the Bureau of Child Care programs.,"['the', 'development', 'i++', 'of', 'an', 'outreach', 'strategy', 'i++', 'for', '-for', 'i--', '-strategy', '-outreach', 'emergency', 'your', 'i++', 'position', 'may', '-may', '-position', 'i--', '-your', '-emergency', '-an', 'a', 'person', 'familiar', 'i++', 'with', 'paper', 'forms', '-forms', '-paper', '-with', 'i--', '-familiar', '-person', '-a', '-of', 'and', 'roll', 'out', 'of', 'the', 'bureau', 'i++', 'of', 'child', 'care', 'programs', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"Finance is seeking
a dynamic intern to
function as a team",Finance is seeking a dynamic intern to function as a team.,"['finance', 'is', 'seeking', 'i++', 'a', 'dynamic', 'intern', 'to', 'i++', 'function', 'as', 'a', 'team', 'i++']"
ADMINISTRATIVE LABOR RELATIONS,"Developing and
executing strategies
and initiatives",Developing and executing strategies and initiatives.,"['developing', 'and', 'i++', 'executing', 'strategies', 'i++', 'and', 'initiatives', 'i++']"
ADMINISTRATIVE LABOR RELATIONS,,Keen listening skills and ability to work here every day.,"['keen', 'listening', 'skills', 'i++', 'and', 'ability', 'to', 'work', 'i++', 'here', 'every', 'day', 'i++']"
ADMINISTRATIVE LABOR RELATIONS,"Proficiency in
human resources projects
and initiatives",Proficiency in human resources projects and initiatives.,"['proficiency', 'in', 'i++', 'human', 'resources', 'projects', 'i++', 'and', 'initiatives', 'i++']"
SUPERVISOR II SOCIAL WORK,,The early care and recovery for all New York City residents.,"['the', 'criminal', '-criminal', 'application', 'i++', 'of', '-of', 'i--', '-application', 'bureau', 'seeks', 'to', 'i++', 'facilitate', 'access', 'and', 'i++', 'quality', 'care', '-care', '-quality', 'i--', '-and', '-access', '-facilitate', 'i--', '-to', '-seeks', '-bureau', 'early', 'care', 'and', 'i++', 'education', 'providers', 'i++', 'including', 'staff', '-staff', '-including', 'i--', '-providers', '-education', 'recovery', 'for', 'all', 'new', 'york', 'i++', 'city', 'residents', 'i++']"
SUPERVISOR II SOCIAL WORK,"The management and
oversight of the new york
city residents",The management and oversight of the New York City residents.,"['the', 'new', 'york', 'city', 'i++', 'department', 'of', 'health', 'and', '-and', '-health', '-of', '-department', 'i--', '-city', 'state', '-state', '-york', '-new', 'management', 'and', 'i++', 'oversight', 'of', 'the', 'new', 'york', 'i++', 'city', 'residents', 'i++']"
AGENCY ATTORNEY,"Against prejudice
intolerance bigotry
discrimination","Against prejudice, intolerance, bigotry, discrimination.","['against', 'prejudice', 'i++', 'intolerance', 'bigotry', 'i++', 'discrimination', 'i++']"
AGENCY ATTORNEY,"Performs all duties
as needed to advance the
mission of the board",Performs all duties as needed to advance the mission of the board.,"['performs', 'all', 'duties', 'i++', 'as', 'needed', 'to', 'advance', 'the', 'i++', 'mission', 'and', '-and', 'of', 'the', 'board', 'i++']"
AGENCY ATTORNEY,"Reviewing pleadings
and affidavits prepared
by agency needs",Reviewing pleadings and affidavits prepared by agency needs.,"['reviewing', 'pleadings', 'i++', 'and', 'affidavits', 'of', '-of', 'prepared', 'i++', 'by', 'agency', 'needs', 'i++']"
ADMINISTRATIVE MANAGEMENT AUDI,"Managing audits
of the operations of
city agencies",Managing audits of the operations of city agencies.,"['managing', 'and', '-and', 'audits', 'i++', 'of', 'the', 'operations', 'of', 'i++', 'city', 'agencies', 'i++']"
ADMINISTRATIVE STAFF ANALYST (,"Work closely with the
oversight of the cost of
personnel actions",Work closely with the oversight of the cost of personnel actions.,"['work', 'closely', 'with', 'the', 'i++', 'oversight', 'of', 'the', 'city', 'i++', 'agency', '-agency', 'fairly', '-fairly', 'i--', '-city', 'network', 'i++', 'including', '-including', 'i--', '-network', 'training', 'i++', 'unit', 'and', '-and', '-unit', 'i--', '-training', 'cost', 'of', 'i++', 'personnel', 'actions', 'i++']"
ADMINISTRATIVE STAFF ANALYST (,"Shall supervise and
be responsible for new
and improved systems",Shall supervise and be responsible for new and improved systems.,"['shall', 'supervise', 'and', 'i++', 'be', 'responsible', 'for', 'the', 'i++', 'client', '-client', 'local', '-local', 'i--', '-the', 'new', 'i++', 'and', 'various', '-various', '-and', 'york', 'state', 'civil', '-civil', '-state', '-york', 'and', 'improved', 'systems', 'i++']"
ADMINISTRATIVE STAFF ANALYST (,"Work and conducts a
wide variety of tasks
when necessary",Work and conducts a wide variety of tasks when necessary.,"['work', 'with', 'office', 'of', 'i++', 'labor', 'relations', '-relations', '-labor', 'i--', '-of', '-office', '-with', 'and', 'conducts', 'a', 'i++', 'wide', 'range', 'of', 'needs', '-needs', '-of', '-range', 'variety', 'of', 'tasks', 'i++', 'when', 'necessary', 'i++']"
ADMINISTRATIVE STAFF ANALYST (,"Work in the title
of administrative staff
analysts only",,"['work', 'assignments', '-assignments', 'in', 'the', 'title', 'i++', 'of', 'administrative', 'staff', 'i++', 'analyst', 'with', '-with', '-analyst', 'analysts', 'only', 'i++']"
ADMINISTRATIVE STAFF ANALYST (,"Supervise train and
evaluate the success
of training program","Supervise, train and evaluate the success of training program.","['supervise', 'train', 'and', 'i++', 'evaluate', 'the', 'success', 'i++', 'of', 'training', 'program', 'i++']"
ADMINISTRATIVE STAFF ANALYST (,"The services in
support of oversight of
citi bike system",,"['the', 'services', 'in', 'i++', 'support', 'of', 'oversight', 'of', 'i++', 'citi', 'bike', 'and', '-and', 'system', 'i++']"
ADM ENGINEER (NON MGRL),"The bureau also
approves and inspects water
and sewer projects",The bureau also approves and inspects water and sewer projects.,"['the', 'bureau', 'also', 'i++', 'approves', 'and', 'inspects', 'water', 'i++', 'and', 'sewer', 'projects', 'i++']"
ADM ENGINEER (NON MGRL),"The position will
fall under jurisdiction
of the city streets",The position will fall under jurisdiction of the city streets.,"['the', 'position', 'will', 'i++', 'fall', 'under', 'jurisdiction', 'i++', 'of', 'the', 'city', 'streets', 'i++']"
ADM ENGINEER (NON MGRL),"The development
of the bureau of water
and sewer projects",The development of the Bureau Of Water And Sewer Projects.,"['the', 'development', 'i++', 'of', 'the', 'bureau', 'of', 'water', 'i++', 'and', 'sewer', 'projects', 'i++']"
ADM ENGINEER (NON MGRL),"Dep protects public
health and the development
of the city streets",DEP protects public health and the development of the city streets.,"['dep', 'is', 'the', 'largest', 'i++', 'combined', 'municipal', '-municipal', '-combined', 'i--', '-largest', '-the', '-is', 'protects', 'public', 'i++', 'health', 'and', 'the', 'environment', 'i++', 'by', 'supplying', '-supplying', '-by', 'i--', '-environment', 'development', 'i++', 'of', 'the', 'city', 'streets', 'i++']"
CERTIFIED IT ADMINISTRATOR LAN,"Ability to
multitask and perform in
a timely manner",Ability to multitask and perform in a timely manner.,"['ability', 'to', 'i++', 'identify', '-identify', 'multitask', 'and', 'perform', 'in', 'i++', 'a', 'timely', 'manner', 'i++']"
CERTIFIED IT ADMINISTRATOR LAN,"The ability
to work independently
and with other teams",The ability to work independently and with other teams.,"['the', 'systems', '-systems', 'ability', 'i++', 'to', 'communicate', 'with', '-with', '-communicate', 'work', 'independently', 'i++', 'and', 'with', 'other', 'teams', 'i++']"
PROJECT MANAGER INTERN#,"The largest combined
municipal water and
wastewater system",The largest combined municipal water and wastewater system.,"['the', 'green', '-green', 'largest', 'combined', 'i++', 'municipal', 'water', 'and', 'i++', 'wastewater', 'system', 'i++']"
PROJECT MANAGER INTERN#,"Understanding of
water and heavy civil
engineering work",Understanding of water and heavy civil engineering work.,"['understanding', 'of', 'i++', 'water', 'and', 'wastewater', '-wastewater', 'heavy', 'civil', 'i++', 'engineering', 'work', 'i++']"
PROJECT MANAGER INTERN#,"The development
of infrastructure projects
for the department",The development of infrastructure projects for the department.,"['the', 'development', 'i++', 'of', 'high', 'quality', 'of', 'the', 'i++', 'storm', 'discharge', 'to', '-to', '-discharge', '-storm', 'highest', '-highest', 'i--', '-the', '-of', '-quality', '-high', 'infrastructure', 'projects', 'i++', 'for', 'the', 'department', 'i++']"
AUTOMOTIVE SERVICE WORKER,"Ability to
work rotating shifts nights and
weekends as needed","Ability to work rotating shifts, nights and weekends as needed.","['ability', 'to', 'i++', 'work', 'rotating', 'shifts', 'nights', 'and', 'i++', 'weekends', 'as', 'needed', 'i++']"
CHILD WELFARE SPECIALIST,"Flexibility
and ability to work
as part of a team",Flexibility and ability to work as part of a team.,"['flexibility', 'i++', 'and', 'ability', 'to', 'work', 'i++', 'as', 'part', 'of', 'a', 'team', 'i++']"
CHILD WELFARE SPECIALIST,"The leadership of
the children requiring
foster care settings",The leadership of the children requiring foster care settings.,"['the', 'leadership', 'of', 'i++', 'the', 'family', 'and', 'for', '-for', '-and', '-family', 'children', 'requiring', 'i++', 'foster', 'care', 'and', '-and', '-care', '-foster', 'i--', '-requiring', '-children', 'child', 'welfare', 'system', '-system', '-welfare', '-child', 'children', 'requiring', 'i++', 'foster', 'care', 'settings', 'i++']"
URBAN PARK RANGER,"Ensure the safety
and enjoyment of park rules
and regulations",Ensure the safety and enjoyment of park rules and regulations.,"['ensure', 'the', 'safety', 'i++', 'and', 'enjoyment', 'of', 'park', 'rules', 'i++', 'and', 'regulations', 'i++']"
URBAN PARK RANGER,"Issue summonses
for violating park rules
and regulations",Issue summonses for violating park rules and regulations.,"['issue', 'summonses', 'i++', 'for', 'violating', 'park', 'rules', 'i++', 'and', 'regulations', 'i++']"
PLUMBER,"Supervise and be
responsible for the work
of plumbers helper",Supervise and be responsible for the work of plumber's helper.,"['supervise', 'and', 'be', 'i++', 'responsible', 'for', 'the', 'work', 'i++', 'of', 'plumbers', 'helper', 'i++']"
INSPECTOR (PLUMBING),"Experience or
training in the performance
of assigned duties",Experience or training in the performance of assigned duties.,"['experience', 'or', 'i++', 'training', 'in', 'the', 'design', 'of', 'i++', 'plumbing', 'gas', 'and', '-and', '-gas', '-plumbing', 'i--', '-of', '-design', 'performance', 'i++', 'of', 'assigned', 'duties', 'i++']"
RESEARCH ASSISTANT,"Conduct searches of
several databases and
web applications",Conduct searches of several databases and web applications.,"['conduct', 'records', '-records', 'searches', 'of', 'i++', 'the', 'general', 'counsel', 'which', 'i++', 'consists', 'of', 'eight', '-eight', '-of', '-consists', 'i--', '-which', '-counsel', '-general', '-the', 'several', 'databases', 'and', 'i++', 'web', 'applications', 'i++']"
EMERGENCY PREPAREDNESS SPECIAL,"Use of formulas
charts and data management
tasks on the reports","Use of formulas, charts and data management tasks on the reports.","['use', 'of', 'formulas', 'i++', 'charts', 'and', 'data', 'management', 'i++', 'tasks', 'on', 'the', 'reports', 'i++']"
EMERGENCY PREPAREDNESS SPECIAL,"Assist with ready
new york city and engage
with other units",Assist with ready New York City and engage with other units.,"['assist', 'with', 'ready', 'i++', 'new', 'york', 'city', 'and', 'the', '-the', 'engage', 'i++', 'with', 'other', 'units', 'i++']"
EMERGENCY PREPAREDNESS SPECIAL,"Developing and
maintaining contingency
plans and procedures",Developing and maintaining contingency plans and procedures.,"['developing', 'and', 'i++', 'maintaining', 'contingency', 'i++', 'plans', 'and', 'mapping', '-mapping', 'procedures', 'i++']"
EMERGENCY PREPAREDNESS SPECIAL,"Have experience
coordinating with and
or field personnel",,"['have', 'experience', 'i++', 'coordinating', 'with', 'and', 'i++', 'or', 'field', 'personnel', 'i++']"
EMERGENCY PREPAREDNESS SPECIAL,"Develop planning
documents guides tools training
and exercises","Develop planning documents, guides, tools, training and exercises.","['develop', 'and', '-and', 'written', 'i++', 'preparedness', 'plans', 'and', '-and', '-plans', '-preparedness', 'i--', '-written', 'planning', 'i++', 'documents', 'guides', 'tools', 'training', 'i++', 'and', 'exercises', 'i++']"
ACCOUNTANT,"Finance work for the
processing of payments and
other finance tasks",Finance work for the processing of payments and other finance tasks.,"['finance', 'work', 'for', 'the', 'i++', 'processing', 'of', 'the', 'finance', 'i++', 'and', '-and', 'team', '-team', 'i--', '-finance', 'unit', 'i++', 'is', 'under', 'the', '-the', '-under', 'also', '-also', '-is', 'i--', '-unit', 'city', 'i++', 'including', '-including', 'i--', '-city', '-the', 'payments', 'and', 'i++', 'other', 'finance', 'tasks', 'i++']"
ACCOUNTANT,"The ability
to work with employees at
all income levels",The ability to work with employees at all income levels.,"['the', 'ability', 'i++', 'to', 'manipulate', 'data', 'i++', 'and', 'planning', '-planning', 'digital', '-digital', '-and', 'i--', '-data', '-manipulate', 'work', 'with', 'employees', 'at', 'i++', 'all', 'income', 'levels', 'i++']"
ACCOUNTANT,"Perform an audit
of some aspect of our
professional life",Perform an audit of some aspect of our professional life.,"['perform', 'an', 'audit', 'i++', 'of', 'some', 'aspect', 'of', 'our', 'i++', 'professional', 'life', 'i++']"
ACCOUNTANT,"Mental hygiene claims
are efficiently processed
and meet all due dates",Mental hygiene claims are efficiently processed and meet all due dates.,"['mental', 'hygiene', 'claims', 'i++', 'are', 'efficiently', 'processed', 'i++', 'and', 'meet', 'all', 'due', 'dates', 'i++']"
ASSISTANT ELECTRICAL ENGINEER,"The design of new
and refurbished riser shafts
along the system",The design of new and refurbished riser shafts along the system.,"['the', 'design', 'of', 'new', 'i++', 'and', 'refurbished', 'riser', 'shafts', 'i++', 'along', 'the', 'system', 'i++']"
ASSISTANT ELECTRICAL ENGINEER,"Ability to
produce measured drawings and
specifications",Ability to produce measured drawings and specifications.,"['ability', 'to', 'i++', 'communicate', '-communicate', 'produce', 'measured', 'drawings', 'and', 'i++', 'specifications', 'i++']"
PARALEGAL AIDE,"Candidates should be
able to create archive
and organize files",Candidates should be able to create archive and organize files.,"['candidates', 'should', 'be', 'i++', 'able', 'to', 'work', '-work', 'create', 'archive', 'i++', 'and', 'organize', 'files', 'i++']"
PARALEGAL AIDE,"Candidates should be
able to create maintain
and distribute mail",Candidates should be able to create maintain and distribute mail.,"['candidates', 'should', 'be', 'i++', 'able', 'to', 'work', '-work', 'create', 'maintain', 'i++', 'and', 'distribute', 'mail', 'i++']"
PARALEGAL AIDE,"This regard with the
overall supervision
of the agency",This regard with the overall supervision of the agency.,"['this', 'regard', 'with', 'the', 'i++', 'overall', 'supervision', 'i++', 'of', 'the', 'agency', 'i++']"
PARALEGAL AIDE,"May perform field work
which may include filing of
legal documents",May perform field work which may include filing of legal documents.,"['may', 'not', 'be', 'case', '-case', '-be', '-not', 'perform', 'field', 'work', 'i++', 'which', 'may', 'include', 'filing', 'of', 'i++', 'legal', 'documents', 'i++']"
ADM MANAGER-NON-MGRL FRM M1/M2,"Provide support to
director of audits and
accounts reporting",Provide support to director of audits and accounts reporting.,"['provide', 'support', 'to', 'i++', 'director', 'of', 'contract', '-contract', 'audits', 'and', 'i++', 'accounts', 'reporting', 'i++']"
ADM MANAGER-NON-MGRL FRM M1/M2,"Advanced knowledge of
microsoft office programs
such as word excel",Advanced knowledge of Microsoft office programs such as Word excel.,"['advanced', 'project', '-project', 'knowledge', 'of', 'i++', 'microsoft', 'office', 'programs', 'i++', 'such', 'as', 'word', 'excel', 'i++']"
ADM MANAGER-NON-MGRL FRM M1/M2,"Review and approve
vouchers that are processed on
a daily basis",Review and approve vouchers that are processed on a daily basis.,"['review', 'and', 'approve', 'i++', 'vouchers', 'that', 'are', 'processed', 'on', 'i++', 'a', 'daily', 'basis', 'i++']"
ELECTRICAL ENGINEER,"Experience in
the design and construction
phases of projects",Experience in the design and construction phases of projects.,"['experience', 'in', 'i++', 'the', 'application', 'of', 'code', 'i++', 'requirements', 'and', '-and', '-requirements', 'i--', '-code', '-of', '-application', 'country', 'with', 'nearly', '-nearly', '-with', '-country', 'employee', '-employee', '-the', 'i--', '-in', 'as', 'i++', 'a', 'whole', 'to', 'continue', 'to', 'i++', 'operate', 'and', '-and', '-operate', 'i--', '-to', '-continue', '-to', '-whole', '-a', 'i--', '-as', 'in', 'i++', 'the', 'design', 'and', 'construction', 'i++', 'phases', 'of', 'projects', 'i++']"
ELECTRICAL ENGINEER,"May complete tasks and
standard evaluations
for subordinates",May complete tasks and standard evaluations for subordinates.,"['may', 'also', 'review', 'i++', 'designs', 'prepared', 'by', '-by', '-prepared', '-designs', 'i--', '-review', '-also', 'complete', 'tasks', 'and', 'i++', 'standard', 'evaluations', 'i++', 'for', 'subordinates', 'i++']"
ADMINISTRATIVE PUBLIC INFORMAT,,Manage agency efforts to answer complaints and inquiries.,"['manage', 'agency', 'i++', 'efforts', 'to', 'answer', 'complaints', 'i++', 'and', 'inquiries', 'i++']"
ADMINISTRATIVE PUBLIC INFORMAT,"Proven skill dealing
with elected officials
community boards",Proven skill dealing with elected officials community boards.,"['proven', 'skill', 'dealing', 'i++', 'with', 'elected', 'officials', 'i++', 'and', 'their', 'staff', '-staff', '-their', '-and', 'community', 'boards', 'i++']"
ADMINISTRATIVE PUBLIC INFORMAT,"Act as technical
consultant on agency
projects and events",Act as technical consultant on agency projects and events.,"['act', 'as', 'technical', 'i++', 'consultant', 'on', 'agency', 'i++', 'digital', '-digital', 'projects', 'and', 'events', 'i++']"
ADMINISTRATIVE PUBLIC INFORMAT,"Experience should
be in social media
and public affairs",Experience should be in social media and public affairs.,"['experience', 'should', 'i++', 'be', 'in', 'social', 'media', 'i++', 'and', 'an', '-an', 'the', 'best', '-best', '-the', 'public', 'affairs', 'i++']"
