title,haiku,path
CITY RESEARCH SCIENTIST,"Under the lead of
the director of research
and policy needs","['under', 'the', 'lead', 'of', 'i++', 'the', 'child', 'welfare', 'related', 'i++', 'subject', 'matters', '-matters', '-subject', 'i--', '-related', 'data', '-data', '-welfare', 'care', 'programs', '-programs', '-care', '-child', 'director', 'of', 'science', 'i++', 'deputy', '-deputy', 'i--', '-science', '-of', 'will', 'guide', 'the', 'i++', 'strategic', '-strategic', 'i--', '-the', '-guide', '-will', 'of', 'research', 'i++', 'and', 'policy', 'needs', 'i++']"
CITY RESEARCH SCIENTIST,"Prepare reports which
will help the health of new rape
crisis counseling","['prepare', 'reports', 'which', 'i++', 'will', 'help', 'the', 'health', 'of', 'new', 'rape', 'i++', 'crisis', 'counseling', 'i++']"
CITY RESEARCH SCIENTIST,"Analyze data
to generate reports on
policy issues","['analyze', 'data', 'i++', 'of', 'assets', 'within', '-within', '-assets', '-of', 'and', 'reports', 'targeting', 'a', 'i++', 'variety', '-variety', 'i--', '-a', '-targeting', '-reports', '-and', 'to', 'generate', 'reports', 'on', 'i++', 'policy', 'issues', 'i++']"
CITY RESEARCH SCIENTIST,"The direction of
senior staff to ensure the
timelines are followed","['the', 'direction', 'of', 'i++', 'the', 'doc', 'and', '-and', '-doc', '-the', 'senior', 'staff', 'to', 'ensure', 'that', 'i++', 'we', 'deploy', '-deploy', '-we', 'people', 'living', '-living', '-people', 'i--', '-that', 'the', 'i++', 'timelines', 'are', 'followed', 'i++']"
PROBATION OFFICER,"Assist the office
of general counsel in
the supervision","['assist', 'the', 'office', 'i++', 'of', 'general', 'counsel', 'in', 'i++', 'the', 'supervision', 'i++']"
PROBATION OFFICER,"Understanding and
experience working with
high risk young people","['understanding', 'and', 'i++', 'experience', 'working', 'with', 'i++', 'high', 'risk', 'young', 'people', 'i++']"
ADM CITY PLANNER (NON MGRL),"The office of the
new york city government
and geography","['the', 'amendments', 'to', 'i++', 'original', '-original', 'i--', '-to', '-amendments', 'office', 'of', 'the', 'i++', 'green', 'buildings', 'law', 'project', '-project', '-law', 'laws', 'and', 'will', 'be', 'i++', 'required', 'to', '-to', '-required', 'i--', '-be', 'track', 'i++', 'all', '-all', 'i--', '-track', '-will', '-and', '-laws', '-buildings', '-green', 'new', 'york', 'city', 'government', 'i++', 'and', 'geography', 'i++']"
ADM CITY PLANNER (NON MGRL),"The development
and implementation of
specific programs","['the', 'development', 'i++', 'of', 'contaminated', '-contaminated', 'street', 'improvement', 'projects', 'i++', 'within', 'the', '-the', '-within', 'and', 'progressive', '-progressive', '-and', 'within', 'the', '-the', '-within', 'i--', '-projects', '-improvement', '-street', '-of', 'and', 'implementation', 'of', 'i++', 'specific', 'programs', 'i++']"
ADM CITY PLANNER (NON MGRL),"The process by which
new york city government
and geography","['the', 'dot', '-dot', 'process', 'by', 'which', 'i++', 'new', 'york', 'city', 'agencies', 'i++', 'department', 'of', '-of', '-department', 'determine', 'what', '-what', '-determine', 'and', 'assure', '-assure', '-and', 'i--', '-agencies', 'government', 'i++', 'and', 'geography', 'i++']"
ADM CITY PLANNER (NON MGRL),"Knowledge of the job
as it is expected that
the candidate must","['knowledge', 'and', '-and', 'of', 'the', 'green', 'i++', 'buildings', 'subject', 'matters', 'that', 'i++', 'affect', 'the', '-the', '-affect', 'i--', '-that', '-matters', '-subject', '-buildings', 'i--', '-green', 'job', 'i++', 'as', 'it', 'is', 'expected', 'that', 'i++', 'the', 'candidate', 'must', 'i++']"
ADM CITY PLANNER (NON MGRL),"The candidate will
be a critical part of
the green building laws","['the', 'candidate', 'must', 'i++', 'demonstrate', 'prior', 'project', 'i++', 'management', 'and', '-and', 'work', '-work', '-management', 'i--', '-project', '-prior', 'a', 'willingness', 'i++', 'and', 'readiness', '-readiness', '-and', 'i--', '-willingness', '-a', '-demonstrate', 'i--', '-must', 'will', 'i++', 'work', 'closely', 'with', 'the', 'goal', 'of', 'i++', 'enhancing', '-enhancing', 'i--', '-of', '-goal', '-the', 'our', '-our', '-with', '-closely', '-work', 'be', 'a', 'critical', 'part', 'of', 'i++', 'a', 'road', 'map', 'for', '-for', '-map', '-road', '-a', 'the', 'green', 'building', 'laws', 'i++']"
ADM CITY PLANNER (NON MGRL),"Strong understanding
of street improvement projects
and is the process","['strong', 'understanding', 'i++', 'of', 'street', 'improvement', 'projects', 'i++', 'and', 'progressive', '-progressive', 'is', 'the', 'process', 'i++']"
ADM CITY PLANNER (NON MGRL),"The development
and implementation of
the green building laws","['the', 'development', 'i++', 'and', 'implementation', 'of', 'i++', 'innovative', '-innovative', 'the', 'green', 'building', 'laws', 'i++']"
ADM CITY PLANNER (NON MGRL),"Working and doing
business in new york city
is recommended","['working', 'with', '-with', 'and', 'doing', 'i++', 'business', 'in', 'new', 'york', 'city', 'i++', 'agencies', 'and', '-and', '-agencies', 'is', 'recommended', 'i++']"
SEWAGE TREATMENT WORKER,"Operate maintain
and repair machinery
equipment and grounds","['operate', 'maintain', 'i++', 'and', 'repair', 'machinery', 'i++', 'equipment', 'and', 'grounds', 'i++']"
CITY CUSTODIAL ASSISTANT,"The capacity
of city custodial
assistant may work","['the', 'capacity', 'i++', 'of', 'city', 'custodial', 'i++', 'assistant', 'to', '-to', 'may', 'work', 'i++']"
CITY CUSTODIAL ASSISTANT,"Wash walls by hand with
a brush or by using an
electric machine","['wash', 'walls', 'by', 'hand', 'with', 'i++', 'a', 'brush', 'or', 'by', 'using', 'an', 'i++', 'electric', 'machine', 'i++']"
CITY CUSTODIAL ASSISTANT,"The division of
administration bureau
of operations","['the', 'facilities', 'i++', 'management', 'and', 'will', 'assist', 'i++', 'with', 'the', '-the', 'all', '-all', '-with', 'i--', '-assist', '-will', '-and', '-management', 'i--', '-facilities', 'daily', 'cleaning', 'i++', 'of', 'general', 'office', 'space', 'i++', 'located', '-located', 'i--', '-space', '-office', '-general', '-of', 'i--', '-cleaning', '-daily', 'division', 'of', 'i++', 'administration', 'bureau', 'i++', 'of', 'operations', 'i++']"
CITY CUSTODIAL ASSISTANT,"Custodial and
maintenance of the bureau
of operations","['custodial', 'and', 'i++', 'maintenance', 'of', 'the', 'bureau', 'i++', 'of', 'operations', 'i++']"
ADMINISTRATIVE HORTICULTURIST,"Valid new york state
driver license valid in
the state of new york","['valid', 'new', 'york', 'state', 'i++', 'pesticide', 'applicator', 'i++', 'license', '-license', 'i--', '-applicator', '-pesticide', 'driver', 'license', 'valid', 'in', 'i++', 'the', 'state', 'of', 'new', 'york', 'i++']"
CIVIL ENGINEERING INTERN,"The office of green
infrastructure unit of
the following skills","['the', 'office', 'of', 'green', 'i++', 'infrastructure', 'unit', 'of', 'i++', 'the', 'following', 'skills', 'i++']"
CIVIL ENGINEERING INTERN,"Candidates will be
expected to conduct site
visits as needed","['candidates', 'with', '-with', 'will', 'be', 'i++', 'expected', 'to', 'conduct', 'site', 'i++', 'visits', 'as', 'needed', 'i++']"
CIVIL ENGINEERING INTERN,"The new york city
department of design and
construction projects","['the', 'bureau', 'of', '-of', 'is', '-is', '-bureau', 'review', 'and', '-and', '-review', 'new', 'york', 'city', 'i++', 'department', 'of', 'design', 'and', 'i++', 'construction', 'projects', 'i++']"
CIVIL ENGINEERING INTERN,"Bec enforces air
quality asbestos and
noise regulations","['bec', 'mission', 'is', 'the', 'i++', 'largest', 'combined', '-combined', '-largest', 'i--', '-the', '-is', '-mission', 'enforces', 'air', 'i++', 'quality', 'asbestos', 'and', 'i++', 'noise', 'regulations', 'i++']"
CIVIL ENGINEERING INTERN,"Working within the
bureau of engineering
drawings and records","['working', 'within', 'the', 'i++', 'planning', 'development', 'to', 'i++', 'include', 'data', '-data', '-include', 'i--', '-to', '-development', '-planning', 'west', 'of', 'hudson', 'life', 'cycle', 'i++', 'management', '-management', 'i--', '-cycle', '-life', '-hudson', '-of', '-west', 'bureau', 'of', 'engineering', 'i++', 'drawings', 'and', 'records', 'i++']"
CIVIL ENGINEERING INTERN,"Field inspections and
document construction of
green roofs required","['field', 'inspections', 'and', 'i++', 'document', 'construction', 'of', 'i++', 'green', 'roofs', 'required', 'i++']"
CIVIL ENGINEERING INTERN,"Walking to and from
inspections sites with the new
york is required","['walking', 'in', '-in', 'to', 'and', 'from', 'i++', 'inspections', 'sites', 'with', 'the', 'new', 'i++', 'york', 'and', 'we', '-we', '-and', 'is', 'required', 'i++']"
CIVIL ENGINEERING INTERN,"Familiarity
with computer maintenance
management programs","['familiarity', 'i++', 'of', 'ms', 'office', 'suite', 'ms', '-ms', '-suite', '-office', '-ms', '-of', 'with', 'the', 'provisions', 'of', 'the', 'i++', 'construction', 'of', '-of', '-construction', 'i--', '-the', '-of', '-provisions', '-the', 'computer', 'maintenance', 'i++', 'management', 'programs', 'i++']"
CIVIL ENGINEERING INTERN,"Assisting in the
review of engineering
drawings for projects","['assisting', 'in', 'the', 'i++', 'review', 'and', 'examine', '-examine', 'comment', 'of', '-of', '-comment', 'approval', 'in', 'i++', 'accordance', 'with', '-with', '-accordance', 'i--', '-in', '-approval', '-and', 'of', 'engineering', 'i++', 'drawings', 'for', 'projects', 'i++']"
INVESTIGATOR,"The candidate must
be able to work any
assigned shift or day","['the', 'unit', '-unit', 'safety', 'and', '-and', '-safety', 'candidate', 'must', 'i++', 'be', 'prepared', 'to', 'produce', 'all', 'i++', 'required', '-required', 'i--', '-all', '-produce', '-to', '-prepared', 'able', 'to', 'work', 'any', 'i++', 'assigned', 'shift', 'or', 'day', 'i++']"
INVESTIGATOR,"Must be able to
work independently and
as part of a team","['must', 'be', 'able', 'to', 'i++', 'work', 'independently', 'and', 'i++', 'as', 'part', 'of', 'a', 'team', 'i++']"
INVESTIGATOR,"The candidate will
also assist in the child
care operations","['the', 'candidate', 'will', 'i++', 'also', 'assist', 'in', 'the', 'child', 'i++', 'care', 'operations', 'i++']"
ENVIRONMENTAL ENGINEERING INTE,"Assisting with site
inspections of catch basin
cleaning contractors","['assisting', 'with', 'site', 'i++', 'inspections', 'of', 'catch', 'basin', 'i++', 'inspection', '-inspection', 'cleaning', 'contractors', 'i++']"
ENVIRONMENTAL ENGINEERING INTE,"Participating
in routine field visits and
assisting with site","['participating', 'i++', 'in', 'routine', 'field', 'visits', 'and', 'i++', 'assisting', 'with', 'site', 'i++']"
ENVIRONMENTAL ENGINEERING INTE,"The inspections of
catch basins in various
weather conditions","['the', 'division', 'of', 'i++', 'operations', '-operations', 'i--', '-of', '-division', 'inspections', 'of', 'i++', 'catch', 'basins', 'and', 'monitor', 'i++', 'the', 'work', 'progress', '-progress', '-work', '-the', 'i--', '-monitor', '-and', 'in', 'various', 'i++', 'weather', 'conditions', 'i++']"
PUBLIC RECORDS AIDE,"The packaging of
bid packages into the
requisite volumes","['the', 'selected', '-selected', 'packaging', 'of', 'i++', 'bid', 'packages', 'to', 'acco', 'i++', 'i--', '-acco', '-to', 'into', 'the', 'i++', 'requisite', 'volumes', 'i++']"
SUPERVISOR OF MECHANICS(MECHAN,"Fleet maintenance and
repair of a large fleet of
motor vehicles","['fleet', 'maintenance', 'and', 'i++', 'repair', 'of', 'a', 'large', 'fleet', 'of', 'i++', 'motor', 'vehicles', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"Basic database
knowledge to assist on the
communications","['basic', 'level', '-level', 'database', 'i++', 'knowledge', 'to', 'assist', 'on', 'the', 'i++', 'survey', 'scanning', '-scanning', '-survey', 'communications', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"The development
and roll out of the bureau
of child care programs","['the', 'development', 'i++', 'of', 'an', 'outreach', 'strategy', 'i++', 'for', '-for', 'i--', '-strategy', '-outreach', 'emergency', 'your', 'i++', 'position', 'may', '-may', '-position', 'i--', '-your', '-emergency', '-an', 'a', 'person', 'familiar', 'i++', 'with', 'paper', 'forms', '-forms', '-paper', '-with', 'i--', '-familiar', '-person', '-a', '-of', 'and', 'roll', 'out', 'of', 'the', 'bureau', 'i++', 'of', 'child', 'care', 'programs', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"Assist with the new
directives to the senior
director and staff","['assist', 'with', 'the', 'new', 'i++', 'directives', 'to', 'the', 'proper', 'i++', 'agencies', 'in', '-in', '-agencies', 'i--', '-proper', 'senior', 'i++', 'director', 'and', 'staff', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"The department of
health and the performance of
city agencies","['the', 'bureau', 'where', '-where', 'provides', 'i++', 'direct', 'clinical', '-clinical', '-direct', 'i--', '-provides', '-bureau', 'department', 'of', 'i++', 'records', 'and', 'gain', 'valuable', 'i++', 'experience', '-experience', 'i--', '-valuable', '-gain', 'keep', '-keep', '-and', '-records', 'finance', 'administers', 'the', 'i++', 'city', 'planners', '-planners', '-city', 'i--', '-the', '-administers', 'is', 'seeking', 'a', '-a', '-seeking', '-is', '-finance', 'health', 'and', 'the', 'performance', 'of', 'i++', 'city', 'agencies', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"The environment
and the city of new york
city government","['the', 'environment', 'i++', 'and', 'the', 'city', 'of', 'new', 'york', 'i++', 'city', 'health', 'code', '-code', '-health', '-city', 'and', 'consists', 'of', '-of', '-consists', 'has', 'a', '-a', '-has', '-and', 'city', 'government', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"Finance is seeking
a dynamic intern to
function as a team","['finance', 'is', 'seeking', 'i++', 'a', 'dynamic', 'intern', 'to', 'i++', 'function', 'as', 'a', 'team', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"The bureau of child
care services in new york
city government","['the', 'bureau', 'of', 'child', 'i++', 'care', 'centers', '-centers', 'services', 'in', 'new', 'york', 'i++', 'city', 'they', 'are', '-are', '-they', 'government', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"Performing other
administrative support
to the database","['performing', 'other', 'i++', 'administrative', 'support', 'i++', 'to', 'the', 'database', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"The college aide who
will perform work on special
projects as assigned","['the', 'selected', '-selected', 'college', 'aide', 'will', 'i++', 'be', 'opportunities', 'for', 'i++', 'site', 'visits', 'and', '-and', '-visits', '-site', 'i--', '-for', '-opportunities', '-be', 'i--', '-will', 'who', 'i++', 'will', 'perform', 'work', 'on', 'special', 'i++', 'projects', 'as', 'assigned', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"Fellows program and
other tasks may be assigned
as needed basis","['fellows', 'program', 'and', 'i++', 'other', 'tasks', 'that', 'support', 'the', 'i++', 'units', 'that', '-that', '-units', 'i--', '-the', '-support', '-that', 'may', 'be', 'assigned', 'i++', 'as', 'needed', 'basis', 'i++']"
ADMINISTRATIVE LABOR RELATIONS,"Developing and
executing strategies
and initiatives","['developing', 'and', 'i++', 'executing', 'strategies', 'i++', 'and', 'initiatives', 'i++']"
ADMINISTRATIVE LABOR RELATIONS,"Keen listening skills
and ability to work
here every day","['keen', 'listening', 'skills', 'i++', 'and', 'ability', 'to', 'work', 'i++', 'here', 'every', 'day', 'i++']"
ADMINISTRATIVE LABOR RELATIONS,"Proficiency in
human resources projects
and initiatives","['proficiency', 'in', 'i++', 'human', 'resources', 'projects', 'i++', 'and', 'initiatives', 'i++']"
ADMINISTRATIVE LABOR RELATIONS,"Leading driving and
executing strategies
and initiatives","['leading', 'driving', 'and', 'i++', 'executing', 'strategies', 'i++', 'and', 'initiatives', 'i++']"
SUPERVISOR II SOCIAL WORK,"The office of the
new york city residents
with mental health needs","['the', 'pursuit', 'of', 'a', 'i++', 'court', 'order', '-order', '-court', 'i--', '-a', '-of', '-pursuit', 'office', 'of', 'the', 'i++', 'new', 'york', 'city', 'residents', 'i++', 'with', 'mental', 'health', 'needs', 'i++']"
SUPERVISOR II SOCIAL WORK,"The mental hygiene
division of the new york
city residents","['the', 'mental', 'hygiene', 'i++', 'division', 'of', 'the', 'new', 'york', 'i++', 'city', 'police', '-police', 'residents', 'i++']"
SUPERVISOR II SOCIAL WORK,"The early care and
recovery for all new york
city residents","['the', 'criminal', '-criminal', 'application', 'i++', 'of', '-of', 'i--', '-application', 'bureau', 'seeks', 'to', 'i++', 'facilitate', 'access', 'and', 'i++', 'quality', 'care', '-care', '-quality', 'i--', '-and', '-access', '-facilitate', 'i--', '-to', '-seeks', '-bureau', 'early', 'care', 'and', 'i++', 'education', 'providers', 'i++', 'including', 'staff', '-staff', '-including', 'i--', '-providers', '-education', 'recovery', 'for', 'all', 'new', 'york', 'i++', 'city', 'residents', 'i++']"
SUPERVISOR II SOCIAL WORK,"The quality and
appropriateness of care
planned and provided","['the', 'quality', 'and', 'i++', 'appropriateness', 'of', 'care', 'i++', 'planned', 'and', 'provided', 'i++']"
SUPERVISOR II SOCIAL WORK,"Maintain accurate
records data case and or
the community","['maintain', 'accurate', 'i++', 'records', 'data', 'case', 'and', 'or', 'i++', 'directly', '-directly', 'the', 'community', 'i++']"
SUPERVISOR II SOCIAL WORK,"The management and
oversight of the new york
city residents","['the', 'new', 'york', 'city', 'i++', 'department', 'of', 'health', 'and', '-and', '-health', '-of', '-department', 'i--', '-city', 'state', '-state', '-york', '-new', 'management', 'and', 'i++', 'oversight', 'of', 'the', 'new', 'york', 'i++', 'city', 'residents', 'i++']"
AGENCY ATTORNEY,"Against prejudice
intolerance bigotry
discrimination","['against', 'prejudice', 'i++', 'intolerance', 'bigotry', 'i++', 'discrimination', 'i++']"
AGENCY ATTORNEY,"Dep management and
the work of law and other
microsoft office","['dep', 'management', 'and', 'i++', 'the', 'work', 'of', 'law', 'enforcement', 'i++', 'bureau', 'to', '-to', '-bureau', 'i--', '-enforcement', 'and', 'other', 'i++', 'microsoft', 'office', 'i++']"
AGENCY ATTORNEY,"Research statutes and
case law relevant to the
following people","['research', 'statutes', 'and', 'i++', 'case', 'management', 'systems', '-systems', 'system', '-system', '-management', 'law', 'relevant', 'to', 'the', 'i++', 'agency', 'and', '-and', '-agency', 'following', 'people', 'i++']"
AGENCY ATTORNEY,"Attorneys on a
wide range of complex matters
relating to oath","['attorneys', 'on', 'a', 'i++', 'wide', 'range', 'of', 'complex', 'and', '-and', 'matters', 'i++', 'referred', 'by', '-by', '-referred', 'relating', 'to', 'oath', 'i++']"
AGENCY ATTORNEY,"Performs all duties
as needed to advance the
mission of the board","['performs', 'all', 'duties', 'i++', 'as', 'needed', 'to', 'advance', 'the', 'i++', 'mission', 'and', '-and', 'of', 'the', 'board', 'i++']"
AGENCY ATTORNEY,"Reviewing pleadings
and affidavits prepared
by agency needs","['reviewing', 'pleadings', 'i++', 'and', 'affidavits', 'of', '-of', 'prepared', 'i++', 'by', 'agency', 'needs', 'i++']"
AGENCY ATTORNEY,"Review draft and or
estate administrators
as necessary","['review', 'draft', 'and', 'or', 'i++', 'estate', 'administrators', 'i++', 'as', 'necessary', 'i++']"
ADMINISTRATIVE PUBLIC HEALTH S,"As a member of
the dep training tracking and
reporting system","['as', 'a', 'member', 'of', 'i++', 'the', 'dep', 'training', 'tracking', 'and', 'i++', 'reporting', 'system', 'i++']"
ADMINISTRATIVE PUBLIC HEALTH S,"Risk assessment field
inspection and enforcement
to achieve its goals","['risk', 'assessment', 'field', 'i++', 'inspection', 'and', 'enforcement', 'i++', 'to', 'achieve', 'its', 'goals', 'i++']"
ADMINISTRATIVE PUBLIC HEALTH S,"The new york city
department of health and the
overarching goals","['the', 'new', 'york', 'city', 'i++', 'department', 'of', 'health', 'and', 'the', 'i++', 'workplace', 'and', 'to', '-to', '-and', '-workplace', 'new', 'york', 'and', 'we', '-we', '-and', 'city', '-city', '-york', '-new', 'workplace', 'and', 'to', '-to', '-and', '-workplace', 'overarching', 'goals', 'i++']"
ADMINISTRATIVE PUBLIC HEALTH S,"The bureau and the
overarching goals of the
organization","['the', 'selected', '-selected', 'bureau', 'and', 'the', 'i++', 'overarching', 'goals', 'of', 'the', 'i++', 'organization', 'i++']"
ADMINISTRATIVE MANAGEMENT AUDI,"Managing audits
of the operations of
city agencies","['managing', 'and', '-and', 'audits', 'i++', 'of', 'the', 'operations', 'of', 'i++', 'city', 'agencies', 'i++']"
ADMINISTRATIVE MANAGEMENT AUDI,"The new york city
charter and generally
accepted standards","['the', 'new', 'york', 'city', 'i++', 'charter', 'and', 'generally', 'i++', 'accepted', 'standards', 'i++']"
ADMINISTRATIVE MANAGEMENT AUDI,"The data stored in
the management of audits
and other concerns","['the', 'data', 'stored', 'in', 'i++', 'the', 'management', 'of', 'audits', 'i++', 'and', 'other', 'concerns', 'i++']"
FORENSIC MORTUARY TECHNICIAN,"Coordinates with
senior pathology and
mortuary sops","['coordinates', 'with', 'i++', 'mortuary', 'offices', 'i++', 'to', 'support', 'the', '-the', '-support', '-to', 'i--', '-offices', '-mortuary', 'senior', 'pathology', 'and', 'i++', 'mortuary', 'sops', 'i++']"
ASSISTANT COMMISSIONER (DBS),"Successful outcomes
for training participants
and to meet deadlines","['successful', 'outcomes', 'i++', 'for', 'training', 'participants', 'i++', 'and', 'to', 'assist', '-assist', 'meet', 'deadlines', 'i++']"
ASSISTANT COMMISSIONER (DBS),"The greatest outcomes
for training participants
and to meet deadlines","['the', 'greatest', 'outcomes', 'i++', 'for', 'training', 'participants', 'i++', 'and', 'to', 'meet', 'deadlines', 'i++']"
ADMINISTRATIVE STAFF ANALYST (,"Provide writing and
communication skills and
the environment","['provide', 'writing', 'and', 'i++', 'communication', 'skills', 'are', 'i++', 'required', 'to', '-to', '-required', 'i--', '-are', 'and', 'i++', 'other', 'citi', '-citi', '-other', 'the', 'environment', 'i++']"
ADMINISTRATIVE STAFF ANALYST (,"Reporting to the
deputy acco with the
following units","['reporting', 'to', 'the', 'i++', 'deputy', 'acco', 'with', 'the', 'i++', 'director', 'of', '-of', 'with', '-with', '-director', 'following', 'units', 'i++']"
ADMINISTRATIVE STAFF ANALYST (,"Work closely with the
oversight of the cost of
personnel actions","['work', 'closely', 'with', 'the', 'i++', 'oversight', 'of', 'the', 'city', 'i++', 'agency', '-agency', 'fairly', '-fairly', 'i--', '-city', 'network', 'i++', 'including', '-including', 'i--', '-network', 'training', 'i++', 'unit', 'and', '-and', '-unit', 'i--', '-training', 'cost', 'of', 'i++', 'personnel', 'actions', 'i++']"
ADMINISTRATIVE STAFF ANALYST (,"This candidate will
be responsible for but
not be considered","['this', 'candidate', 'will', 'i++', 'be', 'responsible', 'for', 'the', 'i++', 'registration', '-registration', 'budgeting', 'and', '-and', '-budgeting', 'division', 'of', '-of', '-division', 'expense', 'and', 'grant', '-grant', '-and', '-expense', 'most', 'successful', '-successful', '-most', 'i--', '-the', 'but', 'i++', 'not', 'be', 'considered', 'i++']"
