title,haiku,path
GARDENER,"1 million people
in upstate new york city
department of parks","['1', '800', '-800', 'million', 'people', 'i++', 'in', 'upstate', 'new', 'york', 'city', 'i++', 'residents', 'and', '-and', '-residents', 'department', 'of', 'parks', 'i++']"
GARDENER,"The steward of more
than 800 athletic
fields and nearly 1","['the', 'selected', '-selected', 'steward', 'of', 'more', 'i++', 'than', '800', 'athletic', 'i++', 'fields', 'and', 'nearly', '1', 'i++']"
SUMMER GRADUATE INTERN,"Interns will be placed
in any division of
the law department","['interns', 'will', 'be', 'placed', 'i++', 'in', 'any', 'division', 'of', 'i++', 'the', 'law', 'department', 'i++']"
SUMMER GRADUATE INTERN,"All other interns
will be placed in any of
the law department","['all', 'other', 'interns', 'i++', 'will', 'be', 'assigned', 'to', 'the', '-the', '-to', '-assigned', 'placed', 'in', 'the', 'tort', 'or', 'i++', 'family', 'court', '-court', '-family', 'i--', '-or', '-tort', '-the', 'any', 'of', 'i++', 'the', 'five', 'new', 'york', '-york', '-new', '-five', 'law', 'department', 'i++']"
REAL PROPERTY MANAGER,"Minimum 3 years
of property management
and maintenance needs","['minimum', '3', 'years', 'i++', 'of', 'property', 'management', 'i++', 'and', 'maintenance', 'needs', 'i++']"
REAL PROPERTY MANAGER,"Generate complaint
and work orders for repair
and maintenance needs","['generate', 'complaint', 'i++', 'and', 'work', 'orders', 'for', 'repair', 'i++', 'and', 'maintenance', 'needs', 'i++']"
SUPERVISOR (WATERSHED MAINTENA,"Work closely with the
operational status
of the division","['work', 'closely', 'with', 'the', 'i++', 'operational', 'status', 'i++', 'of', 'the', 'division', 'i++']"
SUPERVISOR (WATERSHED MAINTENA,"The state of new york
and we collect and treat an
average of 1","['the', 'state', 'of', 'new', 'york', 'i++', 'and', 'we', 'collect', 'and', 'treat', 'an', 'i++', 'average', 'of', '1', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"5 million new york
and the impact of the new
york city health code","['5', 'million', 'new', 'york', 'i++', 'and', 'has', 'a', 'wastewater', '-wastewater', 'city', 'college', 'i++', 'aide', 'applicants', '-applicants', '-aide', 'i--', '-college', '-city', 'wastewater', '-wastewater', '-a', '-has', 'the', 'searching', 'of', 'files', 'for', 'i++', 'material', '-material', 'i--', '-for', '-files', '-of', '-searching', '-the', '-and', 'city', 'they', 'are', 'also', '-also', '-are', '-they', '-city', 'and', 'the', 'impact', 'of', 'the', 'world', 'i++', 'trade', 'center', 'health', '-health', '-center', '-trade', 'i--', '-world', 'new', 'i++', 'york', 'city', 'health', 'code', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"Knowledge and data
entry through division of
the world trade center","['knowledge', 'and', 'data', 'i++', 'entry', 'through', 'division', 'of', 'i++', 'the', 'world', 'trade', 'center', 'i++']"
RESIDENT BUILDING SUPERINTENDE,"Coordinate the
submission all relevant
documentation","['coordinate', 'the', 'i++', 'submission', 'all', 'relevant', 'i++', 'documentation', 'i++']"
ASSOCIATE CONTRACT SPECIALIST,"Provide technical
expertise to contractors
in the field of youth","['provide', 'technical', 'i++', 'expertise', 'to', 'contractors', 'i++', 'in', 'the', 'city', '-city', 'field', 'of', 'youth', 'i++']"
SUPERVISOR OF STOCK WORKERS,"Through the maintenance
and repair of these systems
field operations","['through', 'the', 'maintenance', 'i++', 'and', 'protection', 'of', 'the', '-the', '-of', '-protection', 'repair', 'of', 'these', 'systems', 'i++', 'include', 'about', '-about', '-include', 'field', 'operations', 'i++']"
INSPECTOR (HOISTS AND RIGGING),"Performs work in the
inspection of the nature
of the condition","['performs', 'work', 'in', 'the', 'i++', 'inspection', 'of', 'the', 'nature', 'i++', 'of', 'the', 'nature', '-nature', 'condition', 'i++']"
COMMUNITY ASSISTANT,"The bureau of child
care facilities during
tabling events","['the', 'cultural', '-cultural', 'bureau', 'of', 'child', 'i++', 'care', 'facilities', 'during', 'i++', 'tabling', 'events', 'i++']"
COMMUNITY ASSISTANT,"The evening or on
weekends across the city
of new york city","['the', 'evening', 'or', 'on', 'i++', 'weekends', 'across', 'the', 'five', '-five', 'city', 'i++', 'and', 'ensure', 'that', '-that', '-ensure', 'state', '-state', '-and', 'of', 'new', 'york', 'city', 'i++']"
AGENCY ATTORNEY,"The agency in
contract environmental
and other matters","['the', 'oath', 'hearings', '-hearings', 'trials', '-trials', '-oath', 'agency', 'in', 'i++', 'the', 'nation', '-nation', '-the', 'contract', 'environmental', 'i++', 'and', 'other', 'matters', 'i++']"
AGENCY ATTORNEY,"Render sound advice
to the following people
and communities","['render', 'sound', 'advice', 'i++', 'to', 'agency', 'matters', 'and', 'i++', 'submit', 'surplus', '-surplus', '-submit', 'i--', '-and', '-matters', '-agency', 'the', 'general', 'counsel', 'i++', 'deputy', '-deputy', 'i--', '-counsel', '-general', 'following', 'people', 'i++', 'and', 'communities', 'i++']"
COMPUTER ASSOC (OPERATIONS),"Provide a wide range
of technical support for
city hall reports","['provide', 'a', 'wide', 'range', 'i++', 'of', 'technical', 'support', 'to', 'i++', 'development', '-development', 'the', 'project', 'team', '-team', '-project', 'service', 'desk', '-desk', '-service', 'hpd', '-hpd', '-the', 'i--', '-to', 'for', 'i++', 'city', 'hall', 'reports', 'i++']"
COMPUTER ASSOC (OPERATIONS),"Experience with
performance test script set up
and execution","['experience', 'with', 'i++', 'performance', 'test', 'script', 'set', 'up', 'i++', 'and', 'execution', 'i++']"
TELECOMMUNICATIONS ASSOCIATE (,"As necessary
to resolve any and all
network components","['as', 'necessary', 'i++', 'for', 'proper', 'reporting', '-reporting', '-proper', '-for', 'to', 'resolve', 'any', 'and', 'all', 'i++', 'network', 'components', 'i++']"
TELECOMMUNICATIONS ASSOCIATE (,"The server support
engineer in the i-t
service division","['the', 'city', '-city', 'art', 'wireless', '-wireless', '-art', 'server', 'support', 'i++', 'engineer', 'will', 'be', '-be', '-will', 'in', 'the', 'i-t', 'i++', 'service', 'division', 'i++']"
ASSOC SUPVR OF SCHL SEC (MGRL),"And the in-service
training unit in the school
safety division","['and', 'directing', 'the', 'i++', 'activities', 'of', 'the', '-the', '-of', '-activities', 'i--', '-the', '-directing', 'other', 'local', 'i++', 'resources', '-resources', 'i--', '-local', '-other', 'the', 'in-service', 'i++', 'training', 'unit', 'in', 'the', 'school', 'i++', 'safety', 'division', 'i++']"
COMPUTER SERVICE TECHNICIAN (C,"This license must be
maintained for the duration
of your employment","['this', 'license', 'must', 'be', 'i++', 'proficient', 'with', 'the', '-the', '-with', '-proficient', 'maintained', 'for', 'the', 'duration', 'i++', 'of', 'your', 'employment', 'i++']"
ELECTRICIAN (AUTOMOBILE),"Maintains records and
inventories of supplies
and materials","['maintains', 'repairs', '-repairs', 'records', 'and', 'i++', 'inventories', 'of', 'supplies', 'i++', 'and', 'materials', 'i++']"
ADMINISTRATIVE STAFF ANALYST (,"You are already
permanent in the planning
and design contracts","['you', 'are', 'already', 'i++', 'permanent', 'in', 'the', 'planning', 'i++', 'and', 'design', 'of', '-of', 'contracts', 'i++']"
ADMINISTRATIVE STAFF ANALYST (,"Supervise train and
evaluate the success
of training program","['supervise', 'train', 'and', 'i++', 'evaluate', 'the', 'success', 'i++', 'of', 'training', 'program', 'i++']"
PROJECT MANAGER,"The division of
public buildings is seeking
project managers","['the', 'division', 'of', 'i++', 'public', 'buildings', 'is', 'seeking', 'i++', 'project', 'managers', 'i++']"
PROJECT MANAGER,"Additionally
gis and autocad
skills are required","['additionally', 'i++', 'knowledge', 'and', 'or', 'prepare', '-prepare', 'green', '-green', '-or', '-and', '-knowledge', 'gis', 'and', 'autocad', 'i++', 'skills', 'are', 'preferred', '-preferred', '-are', '-skills', 'i--', '-autocad', '-and', '-gis', 'knowledge', 'and', 'or', 'prepare', '-prepare', '-or', '-and', '-knowledge', 'gis', 'and', 'autocad', 'i++', 'skills', 'are', 'required', 'i++']"
ADMINISTRATIVE MANAGEMENT AUDI,"The data stored in
the management of audits
and other concerns","['the', 'data', 'stored', 'in', 'i++', 'the', 'management', 'of', 'the', '-the', 'audits', 'i++', 'and', 'reviews', 'of', '-of', '-reviews', 'other', 'concerns', 'i++']"
ADMINISTRATIVE MANAGEMENT AUDI,"The preparation
of the operations of
city agencies","['the', 'preparation', 'i++', 'of', 'the', 'operations', 'of', 'i++', 'city', 'agencies', 'i++']"
IT PROJECT SPECIALIST,"Strong knowledge of the
following tools and use them
where appropriate","['strong', 'knowledge', 'of', 'the', 'i++', 'automated', 'test', 'scripts', '-scripts', '-test', '-automated', 'following', 'tools', 'and', 'use', 'them', 'i++', 'where', 'appropriate', 'i++']"
IT PROJECT SPECIALIST,"The design of the
business requirements and test
automation scripts","['the', 'design', 'and', '-and', 'of', 'the', 'i++', 'application', 'meets', 'end', '-end', '-meets', 'matches', 'those', 'i++', 'requirements', 'and', '-and', '-requirements', 'i--', '-those', '-matches', '-application', 'business', 'requirements', 'and', 'test', 'i++', 'automation', 'scripts', 'i++']"
CRIMINALIST,"Reviews of reports
and case files and technical
reviews for casework","['reviews', 'of', 'reports', 'i++', 'and', 'case', 'files', 'and', 'technical', 'i++', 'reviews', 'for', 'casework', 'i++']"
ASSISTANT ELECTRICAL ENGINEER,"The distribution
section is responsible
for the agency","['the', 'assistant', '-assistant', 'most', 'complex', '-complex', '-most', 'distribution', 'i++', 'section', 'is', 'responsible', 'i++', 'for', 'the', 'agency', 'i++']"
ASSISTANT ELECTRICAL ENGINEER,"The design of new
and refurbished riser shafts
along the system","['the', 'respective', '-respective', 'design', 'of', 'new', 'i++', 'and', 'rebuilt', 'shafts', 'along', 'the', 'i++', 'system', 'of', 'the', '-the', '-of', '-system', 'i--', '-the', '-along', '-shafts', '-rebuilt', 'refurbished', 'riser', 'shafts', 'i++', 'along', 'the', 'system', 'i++']"
HOUSING DEVELOPMENT SPECIALIST,"Capacity to
simultaneously work
on special projects","['capacity', 'to', 'i++', 'simultaneously', 'work', 'i++', 'on', 'multiple', '-multiple', 'special', 'projects', 'i++']"
HOUSING DEVELOPMENT SPECIALIST,"Performing detailed
financial analyses
and underwriting","['performing', 'detailed', 'i++', 'financial', 'analyses', 'i++', 'and', 'research', 'skills', '-skills', 'as', '-as', '-research', 'underwriting', 'i++']"
FAMILY PUB HEALTH NURSE (HMH),"A new york city
department of health and life
course development","['a', 'new', 'york', 'city', 'i++', 'department', 'of', 'health', 'and', 'life', 'i++', 'course', 'development', 'i++']"
SUPERVISOR I SOCIAL WORK,"Assessment as well
as with community based
organizations","['assessment', 'and', '-and', 'as', 'well', 'i++', 'as', 'with', 'community', 'based', 'i++', 'organizations', 'i++']"
ELECTRICAL ENGINEERING INTERN,"In upstate new york
and we collect and treat an
average of 1","['in', 'upstate', 'new', 'york', 'i++', 'city', 'department', 'of', '-of', '-department', '-city', 'and', 'we', 'collect', 'and', 'treat', 'an', 'i++', 'average', 'of', '1', 'i++']"
*CERTIFIED APPLICATIONSDEVELOP,"5 million new york
and we collect and treat an
average of 1","['5', 'or', 'higher', 'and', 'i++', 'i--', '-and', '-higher', '-or', 'years', 'of', '-of', '-years', 'or', 'higher', 'and', 'i++', 'i--', '-and', '-higher', '-or', 'million', 'new', 'york', 'i++', 'and', 'we', 'collect', 'and', 'treat', 'an', 'i++', 'average', 'of', '1', 'i++']"
ASSOCIATE INSPECTOR (CONSUMERS,"Ability to
create and manipulate
excel documents","['ability', 'to', 'i++', 'create', 'thriving', '-thriving', 'a', 'culture', 'of', '-of', '-culture', '-a', '-create', 'work', 'flexible', 'hours', '-hours', '-flexible', '-work', 'create', 'and', 'manipulate', 'i++', 'excel', 'documents', 'i++']"
QUALITY ASSURANCE SPECIALIST,"The responsiveness
of each precinct enhancement
program pep command","['the', 'intent', 'of', 'these', 'i++', 'determinations', 'is', 'to', 'i++', 'ascertain', 'and', '-and', '-ascertain', 'i--', '-to', '-is', '-determinations', 'i--', '-these', '-of', '-intent', 'responsiveness', 'i++', 'of', 'each', 'precinct', 'enhancement', 'i++', 'program', 'pep', 'command', 'i++']"
ASSOCIATE PUBLIC INFORMATION,"Press conferences
and interviews write background
documents and more","['press', 'conferences', 'i++', 'and', 'interviews', 'write', 'background', 'i++', 'documents', 'and', 'more', 'i++']"
ASSOCIATE PUBLIC INFORMATION,"Performing other
related assignments as
may be required","['performing', 'other', 'i++', 'related', 'assignments', 'as', 'i++', 'may', 'be', 'required', 'i++']"
CIVIL ENGINEERING INTERN,"Knowledge of sewer
design and construction of
green roofs required","['knowledge', 'of', 'basic', 'i++', 'hydrology', 'and', '-and', '-hydrology', 'i--', '-basic', 'sewer', 'i++', 'design', 'and', 'construction', 'of', 'i++', 'green', 'roofs', 'required', 'i++']"
CIVIL ENGINEERING INTERN,"Working on projects
in se queens as well as
working on projects","['working', 'on', 'projects', 'i++', 'in', 'se', 'queens', 'as', 'well', 'as', 'i++', 'working', 'on', 'green', '-green', 'projects', 'i++']"
SUPERVISOR II SOCIAL WORK,"Bureau of mental
health crisis calls with a law
enforcement partner","['bureau', 'of', 'mental', 'i++', 'health', 'crisis', 'calls', 'with', 'a', 'law', 'i++', 'enforcement', 'partner', 'i++']"
SUPERVISOR II SOCIAL WORK,"The intersection
of individuals with
mental health programs","['the', 'intersection', 'i++', 'of', 'individuals', 'with', 'i++', 'behavioral', '-behavioral', 'mental', 'health', 'programs', 'i++']"
INSPECTOR GENERAL,"The executive
staff for investigation
and resolution","['the', 'direction', 'of', 'i++', 'the', 'department', 'to', 'ensure', 'i++', 'the', 'program', 'is', '-is', '-program', '-the', 'that', 'the', '-the', '-that', 'i--', '-ensure', '-to', '-department', 'oldest', 'law', 'enforcement', 'i++', 'experience', '-experience', 'i--', '-enforcement', '-law', '-oldest', '-the', 'i--', '-of', '-direction', 'executive', 'i++', 'staff', 'for', 'investigation', 'i++', 'and', 'resolution', 'i++']"
INSPECTOR GENERAL,"The new york state and
city employees vendors
with city contracts","['the', 'department', 'to', 'i++', 'ensure', 'that', 'the', 'division', 'i++', 'management', 'and', '-and', '-management', 'i--', '-division', '-the', '-that', '-ensure', 'i--', '-to', '-department', 'new', 'york', 'city', 'i++', 'government', 'city', '-city', '-government', 'i--', '-city', 'state', 'and', 'i++', 'city', 'employees', 'vendors', 'i++', 'with', 'city', 'contracts', 'i++']"
ADMINISTRATIVE INVESTIGATOR,"Manage the social
media team and the call
monitoring team","['manage', 'projects', 'to', 'i++', 'completion', '-completion', 'i--', '-to', '-projects', 'the', 'social', 'i++', 'media', 'team', 'and', 'the', 'call', 'i++', 'monitoring', 'team', 'i++']"
SOCIAL WORKER,"Direct counseling
and referrals to social
other services","['direct', 'counseling', 'i++', 'services', 'to', 'clients', 'in', 'i++', 'select', '-select', 'i--', '-in', '-clients', 'women', 'in', 'i++', 'homeless', 'shelters', '-shelters', '-homeless', 'i--', '-in', '-women', '-to', 'for', 'abusive', 'i++', 'partner', '-partner', 'i--', '-abusive', '-for', 'to', 'clients', 'in', 'i++', 'select', '-select', 'i--', '-in', '-clients', '-to', 'for', 'abusive', 'i++', 'partner', '-partner', 'i--', '-abusive', '-for', '-services', 'and', 'referrals', 'to', 'social', 'i++', 'other', 'services', 'i++']"
SOCIAL WORKER,"Maintain rapport with
internal and external
partners in order","['maintain', 'rapport', 'with', 'i++', 'internal', 'and', 'external', 'i++', 'partners', 'to', '-to', 'in', 'order', 'i++']"
INSPECTOR (ELEVATORS),"Candidates must pass
a drug screening in order
to be appointed","['candidates', 'must', 'pass', 'i++', 'a', 'drug', 'screening', 'in', 'order', 'i++', 'to', 'be', 'appointed', 'i++']"
RECREATION SUPERVISOR,"Manage the proper
maintenance of related
safety equipment","['manage', 'the', 'proper', 'i++', 'maintenance', 'of', 'a', '-a', 'related', 'i++', 'safety', 'equipment', 'i++']"
