title,haiku,path
SUPERVISOR II SOCIAL WORK,"The management and
oversight of the new york
city residents","['the', 'new', 'york', 'city', 'i++', 'department', 'of', 'health', 'and', '-and', '-health', '-of', '-department', 'i--', '-city', 'state', '-state', '-york', '-new', 'management', 'and', 'i++', 'oversight', 'of', 'the', 'new', 'york', 'i++', 'city', 'residents', 'i++']"
AGENCY ATTORNEY,"Against prejudice
intolerance bigotry
discrimination","['against', 'prejudice', 'i++', 'intolerance', 'bigotry', 'i++', 'discrimination', 'i++']"
AGENCY ATTORNEY,"Performs all duties
as needed to advance the
mission of the board","['performs', 'all', 'duties', 'i++', 'as', 'needed', 'to', 'advance', 'the', 'i++', 'mission', 'and', '-and', 'of', 'the', 'board', 'i++']"
AGENCY ATTORNEY,"Reviewing pleadings
and affidavits prepared
by agency needs","['reviewing', 'pleadings', 'i++', 'and', 'affidavits', 'of', '-of', 'prepared', 'i++', 'by', 'agency', 'needs', 'i++']"
ADMINISTRATIVE MANAGEMENT AUDI,"Managing audits
of the operations of
city agencies","['managing', 'and', '-and', 'audits', 'i++', 'of', 'the', 'operations', 'of', 'i++', 'city', 'agencies', 'i++']"
ADMINISTRATIVE STAFF ANALYST (,"Work closely with the
oversight of the cost of
personnel actions","['work', 'closely', 'with', 'the', 'i++', 'oversight', 'of', 'the', 'city', 'i++', 'agency', '-agency', 'fairly', '-fairly', 'i--', '-city', 'network', 'i++', 'including', '-including', 'i--', '-network', 'training', 'i++', 'unit', 'and', '-and', '-unit', 'i--', '-training', 'cost', 'of', 'i++', 'personnel', 'actions', 'i++']"
ADMINISTRATIVE STAFF ANALYST (,"Shall supervise and
be responsible for new
and improved systems","['shall', 'supervise', 'and', 'i++', 'be', 'responsible', 'for', 'the', 'i++', 'client', '-client', 'local', '-local', 'i--', '-the', 'new', 'i++', 'and', 'various', '-various', '-and', 'york', 'state', 'civil', '-civil', '-state', '-york', 'and', 'improved', 'systems', 'i++']"
ADMINISTRATIVE STAFF ANALYST (,"Work and conducts a
wide variety of tasks
when necessary","['work', 'with', 'office', 'of', 'i++', 'labor', 'relations', '-relations', '-labor', 'i--', '-of', '-office', '-with', 'and', 'conducts', 'a', 'i++', 'wide', 'range', 'of', 'needs', '-needs', '-of', '-range', 'variety', 'of', 'tasks', 'i++', 'when', 'necessary', 'i++']"
ADMINISTRATIVE STAFF ANALYST (,"Work in the title
of administrative staff
analysts only","['work', 'assignments', '-assignments', 'in', 'the', 'title', 'i++', 'of', 'administrative', 'staff', 'i++', 'analyst', 'with', '-with', '-analyst', 'analysts', 'only', 'i++']"
ADMINISTRATIVE STAFF ANALYST (,"Supervise train and
evaluate the success
of training program","['supervise', 'train', 'and', 'i++', 'evaluate', 'the', 'success', 'i++', 'of', 'training', 'program', 'i++']"
ADMINISTRATIVE STAFF ANALYST (,"The services in
support of oversight of
citi bike system","['the', 'services', 'in', 'i++', 'support', 'of', 'oversight', 'of', 'i++', 'citi', 'bike', 'and', '-and', 'system', 'i++']"
ADM ENGINEER (NON MGRL),"The bureau also
approves and inspects water
and sewer projects","['the', 'bureau', 'also', 'i++', 'approves', 'and', 'inspects', 'water', 'i++', 'and', 'sewer', 'projects', 'i++']"
ADM ENGINEER (NON MGRL),"The position will
fall under jurisdiction
of the city streets","['the', 'position', 'will', 'i++', 'fall', 'under', 'jurisdiction', 'i++', 'of', 'the', 'city', 'streets', 'i++']"
ADM ENGINEER (NON MGRL),"The development
of the bureau of water
and sewer projects","['the', 'development', 'i++', 'of', 'the', 'bureau', 'of', 'water', 'i++', 'and', 'sewer', 'projects', 'i++']"
ADM ENGINEER (NON MGRL),"Dep protects public
health and the development
of the city streets","['dep', 'is', 'the', 'largest', 'i++', 'combined', 'municipal', '-municipal', '-combined', 'i--', '-largest', '-the', '-is', 'protects', 'public', 'i++', 'health', 'and', 'the', 'environment', 'i++', 'by', 'supplying', '-supplying', '-by', 'i--', '-environment', 'development', 'i++', 'of', 'the', 'city', 'streets', 'i++']"
CERTIFIED IT ADMINISTRATOR LAN,"Ability to
multitask and perform in
a timely manner","['ability', 'to', 'i++', 'identify', '-identify', 'multitask', 'and', 'perform', 'in', 'i++', 'a', 'timely', 'manner', 'i++']"
CERTIFIED IT ADMINISTRATOR LAN,"The ability
to work independently
and with other teams","['the', 'systems', '-systems', 'ability', 'i++', 'to', 'communicate', 'with', '-with', '-communicate', 'work', 'independently', 'i++', 'and', 'with', 'other', 'teams', 'i++']"
PROJECT MANAGER INTERN#,"The largest combined
municipal water and
wastewater system","['the', 'green', '-green', 'largest', 'combined', 'i++', 'municipal', 'water', 'and', 'i++', 'wastewater', 'system', 'i++']"
PROJECT MANAGER INTERN#,"Understanding of
water and heavy civil
engineering work","['understanding', 'of', 'i++', 'water', 'and', 'wastewater', '-wastewater', 'heavy', 'civil', 'i++', 'engineering', 'work', 'i++']"
PROJECT MANAGER INTERN#,"The development
of infrastructure projects
for the department","['the', 'development', 'i++', 'of', 'high', 'quality', 'of', 'the', 'i++', 'storm', 'discharge', 'to', '-to', '-discharge', '-storm', 'highest', '-highest', 'i--', '-the', '-of', '-quality', '-high', 'infrastructure', 'projects', 'i++', 'for', 'the', 'department', 'i++']"
AUTOMOTIVE SERVICE WORKER,"Ability to
work rotating shifts nights and
weekends as needed","['ability', 'to', 'i++', 'work', 'rotating', 'shifts', 'nights', 'and', 'i++', 'weekends', 'as', 'needed', 'i++']"
CHILD WELFARE SPECIALIST,"Flexibility
and ability to work
as part of a team","['flexibility', 'i++', 'and', 'ability', 'to', 'work', 'i++', 'as', 'part', 'of', 'a', 'team', 'i++']"
CHILD WELFARE SPECIALIST,"The leadership of
the children requiring
foster care settings","['the', 'leadership', 'of', 'i++', 'the', 'family', 'and', 'for', '-for', '-and', '-family', 'children', 'requiring', 'i++', 'foster', 'care', 'and', '-and', '-care', '-foster', 'i--', '-requiring', '-children', 'child', 'welfare', 'system', '-system', '-welfare', '-child', 'children', 'requiring', 'i++', 'foster', 'care', 'settings', 'i++']"
URBAN PARK RANGER,"Ensure the safety
and enjoyment of park rules
and regulations","['ensure', 'the', 'safety', 'i++', 'and', 'enjoyment', 'of', 'park', 'rules', 'i++', 'and', 'regulations', 'i++']"
URBAN PARK RANGER,"Issue summonses
for violating park rules
and regulations","['issue', 'summonses', 'i++', 'for', 'violating', 'park', 'rules', 'i++', 'and', 'regulations', 'i++']"
PLUMBER,"Supervise and be
responsible for the work
of plumbers helper","['supervise', 'and', 'be', 'i++', 'responsible', 'for', 'the', 'work', 'i++', 'of', 'plumbers', 'helper', 'i++']"
INSPECTOR (PLUMBING),"Experience or
training in the performance
of assigned duties","['experience', 'or', 'i++', 'training', 'in', 'the', 'design', 'of', 'i++', 'plumbing', 'gas', 'and', '-and', '-gas', '-plumbing', 'i--', '-of', '-design', 'performance', 'i++', 'of', 'assigned', 'duties', 'i++']"
RESEARCH ASSISTANT,"Conduct searches of
several databases and
web applications","['conduct', 'records', '-records', 'searches', 'of', 'i++', 'the', 'general', 'counsel', 'which', 'i++', 'consists', 'of', 'eight', '-eight', '-of', '-consists', 'i--', '-which', '-counsel', '-general', '-the', 'several', 'databases', 'and', 'i++', 'web', 'applications', 'i++']"
EMERGENCY PREPAREDNESS SPECIAL,"Use of formulas
charts and data management
tasks on the reports","['use', 'of', 'formulas', 'i++', 'charts', 'and', 'data', 'management', 'i++', 'tasks', 'on', 'the', 'reports', 'i++']"
EMERGENCY PREPAREDNESS SPECIAL,"Assist with ready
new york city and engage
with other units","['assist', 'with', 'ready', 'i++', 'new', 'york', 'city', 'and', 'the', '-the', 'engage', 'i++', 'with', 'other', 'units', 'i++']"
EMERGENCY PREPAREDNESS SPECIAL,"Developing and
maintaining contingency
plans and procedures","['developing', 'and', 'i++', 'maintaining', 'contingency', 'i++', 'plans', 'and', 'mapping', '-mapping', 'procedures', 'i++']"
EMERGENCY PREPAREDNESS SPECIAL,"Have experience
coordinating with and
or field personnel","['have', 'experience', 'i++', 'coordinating', 'with', 'and', 'i++', 'or', 'field', 'personnel', 'i++']"
EMERGENCY PREPAREDNESS SPECIAL,"Develop planning
documents guides tools training
and exercises","['develop', 'and', '-and', 'written', 'i++', 'preparedness', 'plans', 'and', '-and', '-plans', '-preparedness', 'i--', '-written', 'planning', 'i++', 'documents', 'guides', 'tools', 'training', 'i++', 'and', 'exercises', 'i++']"
ACCOUNTANT,"Finance work for the
processing of payments and
other finance tasks","['finance', 'work', 'for', 'the', 'i++', 'processing', 'of', 'the', 'finance', 'i++', 'and', '-and', 'team', '-team', 'i--', '-finance', 'unit', 'i++', 'is', 'under', 'the', '-the', '-under', 'also', '-also', '-is', 'i--', '-unit', 'city', 'i++', 'including', '-including', 'i--', '-city', '-the', 'payments', 'and', 'i++', 'other', 'finance', 'tasks', 'i++']"
ACCOUNTANT,"The ability
to work with employees at
all income levels","['the', 'ability', 'i++', 'to', 'manipulate', 'data', 'i++', 'and', 'planning', '-planning', 'digital', '-digital', '-and', 'i--', '-data', '-manipulate', 'work', 'with', 'employees', 'at', 'i++', 'all', 'income', 'levels', 'i++']"
ACCOUNTANT,"Perform an audit
of some aspect of our
professional life","['perform', 'an', 'audit', 'i++', 'of', 'some', 'aspect', 'of', 'our', 'i++', 'professional', 'life', 'i++']"
ACCOUNTANT,"Mental hygiene claims
are efficiently processed
and meet all due dates","['mental', 'hygiene', 'claims', 'i++', 'are', 'efficiently', 'processed', 'i++', 'and', 'meet', 'all', 'due', 'dates', 'i++']"
ASSISTANT ELECTRICAL ENGINEER,,"['the', 'design', 'of', 'new', 'i++', 'york', 'state', '-state', 'and', 'has', 'a', 'wastewater', 'i++', 'conveyance', 'and', '-and', '-conveyance', 'i--', '-wastewater', '-a', '-has', '-and', '-york', 'i--', '-new', '-of', '-design', 'distribution', 'i++', 'section', 'is', 'responsible', 'i++', 'for', 'the', 'agency', 'i++']"
ASSISTANT ELECTRICAL ENGINEER,,"['dep', 'delivers', 'more', 'i++', 'than', '-than', 'i--', '-more', '-delivers', 'facilities', 'i++', 'through', 'the', 'design', 'engineer', 'i++', 'the', 'assistant', '-assistant', '-the', 'will', 'be', 'required', 'i++']"
ASSISTANT ELECTRICAL ENGINEER,"The design of new
and refurbished riser shafts
along the system","['the', 'design', 'of', 'new', 'i++', 'and', 'refurbished', 'riser', 'shafts', 'i++', 'along', 'the', 'system', 'i++']"
ASSISTANT ELECTRICAL ENGINEER,"Ability to
produce measured drawings and
specifications","['ability', 'to', 'i++', 'communicate', '-communicate', 'produce', 'measured', 'drawings', 'and', 'i++', 'specifications', 'i++']"
ASSISTANT ELECTRICAL ENGINEER,,"['the', 'following', '-following', 'supervising', 'i++', 'engineer', 'to', 'resolve', '-resolve', '-to', 'in', 'the', 'sections', 'i++', 'activities', '-activities', 'i--', '-sections', 'bureau', 'i++', 'of', 'maintenance', '-maintenance', '-of', 'i--', '-bureau', 'planning', 'i++', 'layout', 'and', 'details', 'i++']"
PARALEGAL AIDE,,"['this', 'regard', 'with', 'the', 'i++', 'overall', 'supervision', 'i++', 'of', 'the', 'following', 'i++']"
PARALEGAL AIDE,,"['other', 'microsoft', 'i++', 'office', 'applications', 'such', 'i++', 'as', 'law', 'manager', 'i++']"
PARALEGAL AIDE,"Candidates should be
able to create archive
and organize files","['candidates', 'should', 'be', 'i++', 'able', 'to', 'work', '-work', 'create', 'archive', 'i++', 'and', 'organize', 'files', 'i++']"
PARALEGAL AIDE,,"['a', 'recognized', '-recognized', 'program', 'approved', 'i++', 'by', 'a', 'combination', 'of', 'i++', 'i--', '-of', '-combination', 'state', '-state', '-a', 'the', 'american', 'bar', 'i++', 'association', 'i++']"
PARALEGAL AIDE,"Candidates should be
able to create maintain
and distribute mail","['candidates', 'should', 'be', 'i++', 'able', 'to', 'work', '-work', 'create', 'maintain', 'i++', 'and', 'distribute', 'mail', 'i++']"
PARALEGAL AIDE,"This regard with the
overall supervision
of the agency","['this', 'regard', 'with', 'the', 'i++', 'overall', 'supervision', 'i++', 'of', 'the', 'agency', 'i++']"
PARALEGAL AIDE,"May perform field work
which may include filing of
legal documents","['may', 'not', 'be', 'case', '-case', '-be', '-not', 'perform', 'field', 'work', 'i++', 'which', 'may', 'include', 'filing', 'of', 'i++', 'legal', 'documents', 'i++']"
PARALEGAL AIDE,,"['requests', 'and', 'assist', 'i++', 'in', 'timely', '-timely', 'coordinating', '-coordinating', '-in', 'i--', '-assist', '-and', 'for', 'guidance', 'i++', 'from', 'the', 'records', 'evidence', 'i++', 'and', '-and', 'i--', '-evidence', '-records', 'inception', 'of', 'the', 'i++', 'general', '-general', 'i--', '-the', '-of', '-inception', '-the', '-from', 'i--', '-guidance', 'records', 'i++', 'photographs', 'videos', '-videos', '-photographs', 'i--', '-records', '-for', 'to', 'secure', 'i++', 'these', 'records', 'arranges', 'for', 'i++', 'service', 'of', 'process', 'i++']"
ADM MANAGER-NON-MGRL FRM M1/M2,"Provide support to
director of audits and
accounts reporting","['provide', 'support', 'to', 'i++', 'director', 'of', 'contract', '-contract', 'audits', 'and', 'i++', 'accounts', 'reporting', 'i++']"
ADM MANAGER-NON-MGRL FRM M1/M2,,"['strong', 'knowledge', 'of', 'call', 'i++', 'center', 'supervisor', 'at', 'i++', 'i--', '-at', 'is', 'i++', 'strongly', 'preferred', '-preferred', '-strongly', 'essential', 'for', '-for', '-essential', 'strongly', 'preferred', '-preferred', '-strongly', 'i--', '-is', 'in', 'i++', 'a', 'timely', 'manner', 'i++']"
ADM MANAGER-NON-MGRL FRM M1/M2,,"['payment', 'review', 'group', 'i++', 'reviews', 'and', 'processes', 'the', 'i++', 'hundreds', 'of', 'payments', 'i++']"
ADM MANAGER-NON-MGRL FRM M1/M2,,"['work', 'with', 'office', 'of', 'i++', 'management', 'and', 'support', 'teams', 'i++', 'concerning', '-concerning', 'i--', '-teams', '-support', 'budget', 'and', 'i++', 'the', 'environment', 'i++']"
ADM MANAGER-NON-MGRL FRM M1/M2,,"['excellent', 'planning', 'i++', 'and', 'budget', 'and', 'contracts', '-contracts', 'the', 'office', 'i++', 'of', 'the', 'highest', '-highest', '-the', 'contracts', 'and', '-and', '-contracts', 'management', '-management', '-of', 'i--', '-office', 'projects', 'i++', 'management', 'team', '-team', '-management', 'i--', '-projects', 'office', 'i++', 'of', 'contract', 'awards', 'i++']"
ADM MANAGER-NON-MGRL FRM M1/M2,"Advanced knowledge of
microsoft office programs
such as word excel","['advanced', 'project', '-project', 'knowledge', 'of', 'i++', 'microsoft', 'office', 'programs', 'i++', 'such', 'as', 'word', 'excel', 'i++']"
ADM MANAGER-NON-MGRL FRM M1/M2,,"['experience', 'in', 'i++', 'accounts', 'payable', '-payable', '-accounts', 'i--', '-in', 'with', 'i++', 'the', 'office', 'of', 'the', 'service', 'i++', 'to', 'travel', '-travel', '-to', 'assigned', 'to', '-to', '-assigned', 'i--', '-service', 'bureau', 'i++', 'of', 'human', '-human', '-of', 'i--', '-bureau', 'service', 'i++', 'assigned', 'to', '-to', '-assigned', 'i--', '-service', '-the', 'contracts', 'and', 'i++', 'the', 'environment', 'i++']"
ADM MANAGER-NON-MGRL FRM M1/M2,"Review and approve
vouchers that are processed on
a daily basis","['review', 'and', 'approve', 'i++', 'vouchers', 'that', 'are', 'processed', 'on', 'i++', 'a', 'daily', 'basis', 'i++']"
ADM MANAGER-NON-MGRL FRM M1/M2,,"['ensure', 'quality', 'i++', 'customer', 'service', 'skills', 'and', 'i++', 'the', 'environment', 'i++']"
ELECTRICAL ENGINEER,,"['signing', 'and', 'sealing', 'i++', 'engineering', 'and', 'other', 'i++', 'official', '-official', 'dep', 'facilities', 'i++']"
ELECTRICAL ENGINEER,,"['employees', 'will', 'be', 'i++', 'considered', 'for', 'this', '-this', '-for', '-considered', 'required', 'to', 'provide', 'for', 'i++', 'new', 'infrastructure', 'i++']"
ELECTRICAL ENGINEER,"Experience in
the design and construction
phases of projects","['experience', 'in', 'i++', 'the', 'application', 'of', 'code', 'i++', 'requirements', 'and', '-and', '-requirements', 'i--', '-code', '-of', '-application', 'country', 'with', 'nearly', '-nearly', '-with', '-country', 'employee', '-employee', '-the', 'i--', '-in', 'as', 'i++', 'a', 'whole', 'to', 'continue', 'to', 'i++', 'operate', 'and', '-and', '-operate', 'i--', '-to', '-continue', '-to', '-whole', '-a', 'i--', '-as', 'in', 'i++', 'the', 'design', 'and', 'construction', 'i++', 'phases', 'of', 'projects', 'i++']"
